;date;time;consumption_w;generation_w;temperature_c;humidity_perc;radiation_Wm_2;power_w_zone_1_hvac1;power_w_zone_1_hvac2;power_w_zone_1_hvac3;power_w_zone_1_light;power_w_zone_1_sockets;power_w_zone_2_hvac1;power_w_zone_2_hvac2;power_w_zone_2_light;power_w_zone_2_sockets;power_w_zone_3_hvac1;power_w_zone_3_hvac2;power_w_zone_3_hvac3;power_w_zone_3_light;power_w_zone_3_sockets;power_w_zone_4_hvac;power_w_zone_4_light;power_w_zone_4_sockets;power_w_zone_5_hvac;power_w_zone_5_light;power_w_zone_5_sockets;power_w_hvac;power_w_light;power_w_socket;isoweekday;period_of_day
101;2019-01-01;08:30:00;2917;0;5.4;84.0;22.0;9;0;0;0;462;0;852;0;831;0;0;0;0;345;9;0;169;0;0;240;870;0;2047;2;2
102;2019-01-01;08:35:00;2247;0;5.6;84.0;28.0;9;0;0;0;467;0;170;0;833;0;0;0;0;352;8;0;169;0;0;239;187;0;2060;2;2
103;2019-01-01;08:40:00;2234;0;5.7;83.0;36.0;9;0;0;0;464;0;170;0;837;0;0;0;0;343;8;0;169;0;0;234;187;0;2047;2;2
104;2019-01-01;08:45:00;2244;0;5.8;83.0;45.0;9;0;0;0;463;0;170;0;842;0;0;0;0;352;8;0;168;0;0;232;187;0;2057;2;2
105;2019-01-01;08:50:00;2988;0;5.9;83.0;56.0;9;0;0;0;463;0;922;0;838;0;0;0;0;345;7;0;170;0;0;234;938;0;2050;2;2
106;2019-01-01;08:55:00;2243;0;6.0;83.0;68.0;8;0;0;0;465;0;170;0;837;0;0;0;0;353;10;0;168;0;0;232;188;0;2055;2;2
107;2019-01-01;09:00:00;2243;0;6.2;82.0;81.0;10;0;0;0;462;0;170;0;851;0;0;0;0;344;7;0;170;0;0;229;187;0;2056;2;2
108;2019-01-01;09:05:00;2290;0;6.4;82.0;94.0;8;0;0;0;466;0;170;0;853;0;0;0;0;386;8;0;168;0;0;231;186;0;2104;2;2
109;2019-01-01;09:10:00;2982;0;6.7;81.0;108.0;10;0;0;0;465;0;857;0;849;0;0;0;0;391;8;0;169;0;0;233;875;0;2107;2;2
110;2019-01-01;09:15:00;2255;0;6.9;80.0;121.0;9;0;0;0;466;0;170;0;838;0;0;0;0;363;7;0;170;0;0;232;186;0;2069;2;2
111;2019-01-01;09:20:00;2230;0;7.1;80.0;135.0;8;0;0;0;468;0;170;0;833;0;0;0;0;342;8;0;171;0;0;230;186;0;2044;2;2
112;2019-01-01;09:25:00;2234;0;7.2;79.0;150.0;9;0;0;0;464;0;170;0;833;0;0;0;0;353;7;0;166;0;0;232;186;0;2048;2;2
113;2019-01-01;09:30:00;2986;0;7.4;78.0;165.0;8;0;0;0;465;0;928;0;831;0;0;0;0;345;9;0;167;0;0;233;945;0;2041;2;2
114;2019-01-01;09:35:00;2246;0;7.7;77.0;180.0;7;0;0;0;465;0;170;0;844;0;0;0;0;352;8;0;168;0;0;232;185;0;2061;2;2
115;2019-01-01;09:40:00;2227;0;7.9;77.0;193.0;9;0;0;0;465;0;170;0;834;0;0;0;0;345;8;0;167;0;0;229;187;0;2040;2;2
116;2019-01-01;09:45:00;2385;0;8.1;76.0;205.0;4;0;0;0;463;0;317;0;842;0;0;0;0;352;7;0;168;0;0;232;328;0;2057;2;2
117;2019-01-01;09:50:00;2795;0;8.2;76.0;215.0;8;0;0;0;465;0;732;0;835;0;0;0;0;345;8;0;169;0;0;233;748;0;2047;2;2
118;2019-01-01;09:55:00;2236;0;8.3;75.0;226.0;8;0;0;0;464;0;170;0;833;0;0;0;0;353;6;0;170;0;0;232;184;0;2052;2;2
119;2019-01-01;10:00:00;2233;0;8.4;74.0;238.0;10;0;0;0;466;0;170;0;836;0;0;0;0;343;8;0;169;0;0;231;188;0;2045;2;2
120;2019-01-01;10:05:00;2694;0;8.5;75.0;248.0;8;0;0;0;465;0;622;0;836;0;0;0;0;352;9;0;169;0;0;233;639;0;2055;2;2
121;2019-01-01;10:10:00;2405;0;8.6;74.0;259.0;6;0;0;0;463;0;350;0;835;0;0;0;0;344;9;0;166;0;0;232;365;0;2040;2;2
122;2019-01-01;10:15:00;2233;0;8.8;74.0;268.0;8;0;0;0;462;0;169;0;834;0;0;0;0;353;7;0;169;0;0;231;184;0;2049;2;2
123;2019-01-01;10:20:00;2233;0;8.9;73.0;277.0;7;0;0;0;463;0;173;0;839;0;0;0;0;344;8;0;169;0;0;230;188;0;2045;2;2
124;2019-01-01;10:25:00;2994;0;9.0;72.0;288.0;9;0;0;0;464;0;926;0;833;0;0;0;0;352;10;0;168;0;0;232;945;0;2049;2;2
125;2019-01-01;10:30:00;2243;0;9.1;73.0;297.0;8;0;0;0;463;0;175;0;837;0;0;0;0;345;10;0;172;0;0;233;193;0;2050;2;2
126;2019-01-01;10:35:00;2267;0;9.3;72.0;307.0;7;0;0;0;467;0;178;0;854;0;0;0;0;353;9;0;168;0;0;231;194;0;2073;2;2
127;2019-01-01;10:40:00;2259;0;9.3;71.0;314.0;9;0;0;0;465;0;174;0;858;0;0;0;0;345;10;0;169;0;0;229;193;0;2066;2;2
128;2019-01-01;10:45:00;2969;0;9.6;72.0;321.0;8;0;0;0;467;0;891;0;839;0;0;0;0;354;8;0;171;0;0;231;907;0;2062;2;2
129;2019-01-01;10:50:00;2250;0;9.8;71.0;328.0;8;0;0;0;463;0;176;0;845;0;0;0;0;347;8;0;171;0;0;232;192;0;2058;2;2
130;2019-01-01;10:55:00;2246;0;10.1;71.0;337.0;7;0;0;0;466;0;171;0;837;0;0;0;0;354;9;0;169;0;0;233;187;0;2059;2;2
131;2019-01-01;11:00:00;2832;0;10.3;70.0;341.0;8;0;0;0;463;0;765;0;843;0;0;0;0;346;8;0;169;0;0;230;781;0;2051;2;2
132;2019-01-01;11:05:00;2389;0;10.6;69.0;347.0;7;0;0;0;465;0;298;0;860;0;0;0;0;353;7;0;169;0;0;230;312;0;2077;2;2
133;2019-01-01;11:10:00;2248;0;10.8;69.0;354.0;9;0;0;0;464;0;172;0;854;0;0;0;0;344;7;0;167;0;0;231;188;0;2060;2;2
134;2019-01-01;11:15:00;2328;0;11.1;67.0;361.0;8;0;0;0;466;0;247;0;844;0;0;0;0;353;8;0;170;0;0;232;263;0;2065;2;2
135;2019-01-01;11:20:00;2902;0;11.4;67.0;367.0;9;0;0;0;465;0;841;0;837;0;0;0;0;343;8;0;169;-1;0;231;857;0;2045;2;2
136;2019-01-01;11:25:00;2244;0;11.8;66.0;373.0;9;0;0;0;463;0;176;0;834;0;0;0;0;353;8;0;169;0;0;232;193;0;2051;2;2
137;2019-01-01;11:30:00;2246;0;11.7;65.0;379.0;8;0;0;0;465;0;175;0;842;0;0;0;0;345;9;0;170;0;0;232;192;0;2054;2;2
138;2019-01-01;11:35:00;3106;0;11.8;65.0;387.0;8;0;0;0;462;0;1001;0;874;0;0;0;0;351;9;0;168;0;0;233;1018;0;2088;2;2
139;2019-01-01;11:40:00;2252;0;12.2;65.0;397.0;9;0;0;0;463;0;170;0;860;0;0;0;0;344;8;0;169;0;0;229;187;0;2065;2;2
140;2019-01-01;11:45:00;2255;0;12.6;64.0;400.0;9;0;0;0;463;0;178;0;844;0;0;0;0;352;10;0;167;0;0;232;197;0;2058;2;2
141;2019-01-01;11:50:00;3091;0;12.8;62.0;403.0;9;0;0;0;471;0;1012;0;838;0;0;0;0;346;11;0;169;0;0;235;1032;0;2059;2;2
142;2019-01-01;11:55:00;2249;0;12.9;62.0;406.0;10;0;0;0;466;0;179;0;834;0;0;0;0;353;8;0;167;0;0;232;197;0;2052;2;2
143;2019-01-01;12:00:00;2253;0;13.2;62.0;410.0;9;0;0;0;468;0;179;0;845;0;0;0;0;343;10;0;169;0;0;230;198;0;2055;2;3
144;2019-01-01;12:05:00;3109;0;13.4;61.0;412.0;9;0;0;0;464;0;1018;0;855;0;0;0;0;354;11;0;167;0;0;231;1038;0;2071;2;3
145;2019-01-01;12:10:00;2250;0;13.7;61.0;417.0;9;0;0;0;465;0;171;0;853;0;0;0;0;344;8;0;168;0;0;232;188;0;2062;2;3
146;2019-01-01;12:15:00;2247;0;13.9;59.0;420.0;8;0;0;0;466;0;170;0;841;0;0;0;0;355;8;0;169;0;0;230;186;0;2061;2;3
147;2019-01-01;12:20:00;3001;0;14.2;58.0;420.0;9;0;0;0;467;0;936;0;837;0;0;0;0;344;8;0;170;0;0;230;953;0;2048;2;3
148;2019-01-01;12:25:00;2237;0;14.4;57.0;420.0;8;0;0;0;463;0;172;0;834;0;0;0;0;353;8;0;168;0;0;231;188;0;2049;2;3
149;2019-01-01;12:30:00;2383;0;14.6;56.0;420.0;8;0;0;0;463;0;324;0;836;0;0;0;0;344;8;0;169;0;0;231;340;0;2043;2;3
150;2019-01-01;12:35:00;2906;0;14.6;55.0;424.0;9;0;42;0;469;0;794;0;832;0;0;0;0;353;6;0;170;0;0;231;851;0;2055;2;3
151;2019-01-01;12:40:00;2231;0;14.7;55.0;422.0;7;0;0;0;467;0;171;0;833;0;0;0;0;346;8;0;170;0;0;229;186;0;2045;2;3
152;2019-01-01;12:45:00;2950;0;14.7;55.0;424.0;8;0;0;0;465;0;875;0;840;0;0;0;0;352;8;0;170;0;0;232;891;0;2059;2;3
153;2019-01-01;12:50:00;2366;0;14.8;55.0;420.0;8;0;0;0;464;0;305;0;841;0;0;0;0;343;6;0;167;0;0;232;319;0;2047;2;3
154;2019-01-01;12:55:00;2240;0;14.9;53.0;420.0;8;0;0;0;465;0;171;0;837;0;0;0;0;351;8;0;170;0;0;230;187;0;2053;2;3
155;2019-01-01;13:00:00;3087;0;15.1;50.0;419.0;9;0;0;0;466;0;1027;0;835;0;0;0;0;343;8;0;169;0;0;230;1044;0;2043;2;3
156;2019-01-01;13:05:00;2266;0;15.2;50.0;419.0;9;0;0;0;467;0;171;0;862;0;0;0;0;352;8;0;167;0;0;230;188;0;2078;2;3
157;2019-01-01;13:10:00;2409;0;15.3;49.0;417.0;6;0;0;0;467;0;332;0;848;0;0;0;0;344;9;0;170;0;0;233;347;0;2062;2;3
158;2019-01-01;13:15:00;3037;0;15.3;50.0;414.0;8;0;0;0;466;0;954;0;850;0;0;0;0;351;8;0;168;0;0;232;970;0;2067;2;3
159;2019-01-01;13:20:00;2247;0;15.4;50.0;412.0;7;0;0;0;466;0;170;0;848;0;0;0;0;345;8;0;171;0;0;232;185;0;2062;2;3
